mfn;numero_control;titulo;autores;responsabilidad;lugar;editorial;anio;isbn;descripcion_fisica;coleccion;idioma;temas;inventarios;ubicaciones;signaturas
66;BNM000066;Curso de Formación de Profesores de Ciencias. IV Propiedades y estructura de la materia.: Los ácidos y las bases: Sustancias contrapuestas;Gutiérrez Martín, Antonio;Antonio Gutiérrez Martín;España;Ministerio de Educación y Cultura;2180;84-369-2990-X;86 p.;;español;DIDACTICA | ACIDOS | BASES | MODELO ARRHENIUS | EDUCACION;1252;KAMSHEN;37.018.43+502 GUT
67;BNM000067;Curso de Formación de Profesores de Ciencias. III Seres vivos: Diversidad y unidad de los seres vivos;Gutiérrez Martín, Antonio;Antonio Gutiérrez Martín;España;Ministerio de Educación y Cultura;2180;84-369-2870-9;76 p.;;español;DIDACTICA | SERES VIVOS | EDUCACION;1243;KAMSHEN;37.018.43+502 GUT
68;BNM000068;Curso de Formación de Profesores de Ciencias. III Seres vivos: De la célula a los organismos;Gutiérrez Martín, Antonio;Antonio Gutiérrez Martín;España;Ministerio de Educación y Cultura;2180;84-369-2871-7;68 p.;;español;EDUCACION | DIDACTICA | FORMACION DE DOCENTES | SERES VIVOS | ORGANISMOS | CELULA;1244;KAMSHEN;37.018.43+502 CUR
69;BNM000069;Curso de Formación de Profesores de Ciencias. III Seres vivos: Necesidad de ordenar la diversidad;Gutiérrez Martín, Antonio;Antonio Gutiérrez Martín;España;Ministerio de Educación y Cultura;2180;84-369-2872-5;53 p.;;español;DIDACTICA | DIVERSIDAD | SERES VIVOS | EDUCACION;1245;KAMSHEN;37.018.43+502 GUT
70;BNM000070;Curso de Formación de Profesores de Ciencias. III Seres vivos: El mundo vegetal;Gutiérrez Martín, Antonio;Antonio Gutiérrez Martín;España;Ministerio de Educación y Cultura;2180;84-369-2873-3;117 p.;;español;DIDACTICA | MEDIO AMBIENTE | PLANTAS | DIVERSIDAD VEGETAL | PARTES DE LA PLANTA | EDUCACION;1246;KAMSHEN;37.018.43+502 GUT
71;BNM000071;Curso de Formación de Profesores de Ciencias. III Seres vivos: El mundo animal;Gutiérrez Martín, Antonio;Antonio Gutiérrez Martín;España;Ministerio de Educación y Cultura;2180;84-369-2874-1;123 p.;;español;DIDACTICA | ZOOLOGIA | DIVERSIDAD ANIMAL | VERTEBRADOS | INVERTEBRADOS | ARTROPODOS | EDUCACION;1247;KAMSHEN;37.018.43+502 GUT
72;BNM000072;Curso de Formación de Profesores de Ciencias. II Los sistemas ecológicos: Una visión integradora: Ecología: todo está enlazado;Gutiérrez Martín, Antonio;Antonio Gutiérrez Martín;España;Ministerio de Educación y Cultura;2180;84-369-2866-0;86 p.;;español;DIDACTICA | ECOLOGIA | EDUCACION;1239;KAMSHEN;37.018.43+502 CUR
73;BNM000073;Curso de Formación de Profesores de Ciencias. II Los sistemas ecológicos: Una visión integradora: Población: Un nivel estructurante;Gutiérrez Martín, Antonio;Antonio Gutiérrez Martín;España;Ministerio de Educación y Cultura;2180;84-369-2867-9;84 p.;;español;DIDACTICA | POBLACION HUMANA | CLASIFICACION DE LOS SERES VIVOS | COMUNIDADES ECOLOGICAS | EDUCACION;1240;KAMSHEN;37.018.43+502 GUT
74;BNM000074;Curso de Formación de Profesores de Ciencias. II Los sistemas ecológicos: Una visión integradora: La biosfera: El ecosistema mayor;Gutiérrez Martín, Antonio;Antonio Gutiérrez Martín;España;Ministerio de Educación y Cultura;2180;84-369-2868-7;76 p.;;español;DIDACTICA | ECOSISTEMAS | BIOSFERA | ORGANIZACION FUNCIONAL | EDUCACION;1241;KAMSHEN;37.018.43+502 CUR
75;BNM000075;Curso de Formación de Profesores de Ciencias. II Los sistemas ecológicos: Una visión integradora: Ecología y sociedad: Integración para una gestión sustentable;Gutiérrez Martín, Antonio;Antonio Gutiérrez Martín;España;Ministerio de Educación y Cultura;;84-369-2869-5;99 p.;;español;ECOLOGIA | SOCIEDAD | CONTAMINACION | ATMOSFERA | LLUVIA ACIDA | BIOTECNOLOGIA | DEFORESTACION | EDUCACION;1242;KAMSHEN;37.018.43+502 GUT
76;BNM000076;Principios básicos del currículo;Tyler, Ralph W;Ralph W. Tyler;Buenos Aires;Troquel;1973;;136 p.;;español;APRENDIZAJE | PLANIFICACION | EVALUACION | OBJETIVOS DE MATERIAS | ESTRUCTURA ORGANIZATIVA | CURRICULO | FUNCION DOCENTE | EDUCACION;1080;KAMSHEN;37.013 TYL
77;BNM000077;Educación ambiental: una propuesta para la acción en la escuela: para hacer y saber por qué;Kechichian, Graciela;Graciela Kechichian;Buenos Aires;Santillana;1997;950-46-0456-0;255 p.;Aula XXI;español;EDUCACION AMBIENTAL | ECOLOGIA | ECONOMIA | ECOSISTEMAS | CONTAMINACION | POBLACION | ENERGIA | DESPERDICIOS TOXICOS | SOCIEDAD | AMBIENTE | ECOLOGIA URBANA | AGROECOLOGIA | EDUCACION;1804;KAMSHEN;37:574.2 KEC
78;BNM000078;Diccionario ecología;Trucco Padín de Mariscotti, Estela;Estela Trucco Padín de Mariscotti;Buenos Aires;Magister Eos;2005;987-21448-5-0;208 p.;;español;REFERENCIA | DICCIONARIOS | ECOLOGIA;1750;KAMSHEN;(038)502 TRU
79;BNM000079;Temas ambientales en el aula: una mirada crítica desde las ciencias sociales;Damin, Roberto | Monteleone, Adrián | Munilla, María del Carmen;Roberto Damin , Adrián Monteleone;Buenos Aires;Paidós;2002;950-12-6138-7;192 p.;Cuestiones de Educación;español;EDUCACION AMBIENTAL | DIDACTICA | CIENCIAS NATURALES | RECURSOS DIDACTICOS | EDUCACION;1803;KAMSHEN;37:574.2 DAM
80;BNM000080;Educación ambiental para el desarrollo sustentable: aportes y apuntes del 1º Congreso de Educación ambiental para el desarrollo sustentable de la República Argentina;Priotto, Guillermo;Guillermo Priotto;Buenos Aires;Miño y Dávila;2005;84-95294-65-6;413 p.;Sociedad y Ambiente;español;EDUCACION | EDUCACION AMBIENTAL | DESARROLLO SUSTENTABLE;1705;KAMSHEN;37:574.2 EDU
81;BNM000081;La complejidad ambiental;Leff, Enrique;, coordinado por Enrique Leff;Buenos Aires;Siglo XXI;2003;968-23-2212-X;314 p. índice onomástico, índice analítico;Biblioteca aprender a aprender;español;EDUCACION AMBIENTAL | DESARROLLO SUSTENTABLE | CULTURA AMBIENTAL | APRENDIZAJE AMBIENTAL | EDUCACION;1805;KAMSHEN;37:574.2 COM
82;BNM000082;Conocimientos básicos en educación ambiental: base de datos para la elaboración de actividades y programas;;;Barcelona;Graó;2003;87-7827-287-9;207 p. tablas, índice por conceptos;Monografías de Educación Ambiental;español;EDUCACION AMBIENTAL | ECOLOGIA | RECURSOS NATURALES | BIOSFERA | ENERGIA | ECOSISTEMAS | TIERRA | ATMOSFERA | AGUA | PLANTAS | ANIMALES | CICLOS BIOQUIMICOS | CADENA ALIMENTARIA | SISTEMAS TECNOLOGICOS | EDUCACION;001706 | 001802;KAMSHEN;37:574.2 CON | 37:574.2 CON
83;BNM000083;Teoría y práctica de la educación;Novak, Joseph D;Joseph D. Novak;Madrid;Alianza;1982;84-206-2330-X;275 p.;Alianza Universal;español;EDUCACION | TEORIAS DE LA EDUCACION | EVOLUCION | CURRICULO | PRACTICA DE LA EDUCACION | IMPLICACIONES ESCOLARES | INVESTIGACION EDUCATIVA;259;KAMSHEN;37.013 NOV
84;BNM000084;Historia de la Educación Argentina;Solari, Manuel Horacio;Manuel Horacio Solari;Buenos Aires;Paidós;1988;950-12-2083-4;243 p.;Paidós Educador;español;EDUCACION;411;KAMSHEN;37(091) SOL
85;BNM000085;Nutrición;Pupi, Roberto Edmundo | Dante Salinas, Rolando | Brusco, Osvaldo J | Schor, Isaías;, Roberto Edmundo Pupi, Rolando Dante Salinas, Osvaldo J. Brusco;Buenos Aires;Lopez Libreros Editores;1986;950-505-157-3;712 p.;;español;ALIMENTACION | ENFERMERIA | MEDICINA Y SALUD;2515;KAMSHEN;612.39 NUT
86;BNM000086;Diccionario de términos médicos;;;Buenos Aires;Visor;2007;987-522-349-2;190 p.;;español;DICCIONARIOS | MEDICINA Y SALUD | REFERENCIA;2513;KAMSHEN;(038)61 DIC
87;BNM000087;Salud colectiva: cultura, instituciones y subjetividad:  epidemiología, gestión y políticas;Spinelli, Hugo;, compilado por Hugo Spinelli;Buenos Aires;Lugar;2004;950-892-193-5;287 p.;Salud Colectiva;español;EPIDEMIOLOGIA | SALUD PUBLICA | POLITICA SANITARIA | GESTION PUBLICA | MEDICINA Y SALUD;002270 | 003546;KAMSHEN;614.4 SAL | 614.4 SAL
88;BNM000088;Cómo iniciar y administrar un restaurant;Cooper, Brian | Floody, Brian | McNeill, Gina | Buitrago, Affán;Brian Cooper , Brian Floody,  y Gina McNeill,  y Affán Buitrago;Bogotá;Norma;2002;958-04-6611-4;252 p.;;español;GASTRONOMIA | RESTAURACION | BAR | COSTOS | MARKETING | ADMINISTRACION | ADMINISTRACION Y ORGANIZACION;2494;KAMSHEN;640.43 COO
89;BNM000089;Marketing y planificación para restaurantes;Nanclares Fragoso, José;José Nanclares Frangoso;Madrid;Paraninfo;2001;84-283-2798-X;139 p.;;español;RESTAURACION | GASTRONOMIA | MARKETING | TURISMO;2495;KAMSHEN;640.43 NAN
90;BNM000090;Sociedad de la información: proyecto, convergencia, divergencia;Becerra, Martín;Martín Becerra;Buenos Aires;Norma;2003;987-545-088-X;158 p.;Enciclopedia Latinoamericana de Sociocultura y Comunicación;español;TECNOLOGIA | CULTURA DE MASAS | COMUNICACION;1917;KAMSHEN;007 BEC
91;BNM000091;Enfoque cuantitativos a la administración;Levin, Richard I | Kirkpatrick, Charles A;Richard I. Levin , Charles A. Kirkpatrick;Mexico;Continental;1983;968-26-0356-0;724 p.;;español;ADMINISTRACION DE EMPRESAS | INVESTIGACION OPERATIVA | TOMA DE DECISIONES | GERENTES | GESTION ADMINISTRATIVA | ENFOQUE CUANTITATIVO | ADMINISTRACION CIENTIFICA | METODOS CUANTITATIVOS | ADMINISTRACION Y ORGANIZACION;272;KAMSHEN;658 LEV
92;BNM000092;Ecourbanismo = ecourbanism: entornos humanos sostenibles: 60 proyectos;Ruano, Miguel;Miguel Ruano;Barcelona;Gustavo Gili;2005;84-252-1723-7;192 p. il., fot., gráfs.;;español;ECOTURISMO | URBANISMO | PROTECCION DEL PAISAJE | PROYECTO TURISTICO | CONSERVACION DE LA NATURALEZA | CONSERVACION DE RECURSOS | DESARROLLO SOSTENIBLE | ECOLOGIA;1755;KAMSHEN;502.11 RUA
93;BNM000093;Plan estratégico Ushuaia 2013;Municipalidad de Ushuaia;Municipalidad de Ushuaia;Mendoza;la Municipalidad;2003;;154 p. gráfs.;;español;URBANISMO | GEOGRAFIA URBANA | DESARROLLO TURISTICO | DESARROLLO REGIONAL | DESARROLLO SOSTENIBLE;001598 | 001599 | 002416 | 002419 | 002420;KAMSHEN;(828.9) 711.16 PLA | (828.9) 711.16 PLA | (828.9) 711.16 PLA | (828.9) 711.16 PLA | (828.9) 711.16 PLA
94;BNM000094;Proyectar con la naturaleza;McHarg, Ian L;Ian L. McHarg;Barcelona;Gustavo Gili;2000;84-252-1783-0;197 p. il., fot., gráfs.;;español;URBANISMO | EROSION DE LAS PLAYAS | EROSION DEL SUELO | ECOLOGIA | CONSERVACION DE LA NATURALEZA | PROTECCION DEL PAISAJE | CONSERVACION DE RECURSOS;1760;KAMSHEN;502.11 MCH
95;BNM000095;Enciclopedia de la enfermería: Farmacología, glosario;Océano;Océano;Barcelona;Océano;1997;84-494-0389-8;1152 p.;;español;FARMACOLOGIA | ENFERMERIA | MEDICINA Y SALUD;5995;KAMSHEN;614.253.5 ENC
96;BNM000096;Enciclopedia de la enfermería: Medicoquirúrgica II, pediatría;Océano;Océano;Barcelona;Océano;1997;84-494-0386-3;576 p.;;español;ENFERMERIA | MEDICINA Y SALUD;5992;KAMSHEN;614.253.5 ENC
97;BNM000097;Enciclopedia de la enfermería: Medicoquirúrgica I;Océano;Océano;Barcelona;Océano;1997;84-494-0385-5;384 p.;;español;ENFERMERIA | MEDICINA Y SALUD;5991;KAMSHEN;614.253.5 ENC
98;BNM000098;Enciclopedia de la enfermería: Maternoinfantil I;Océano;Océano;Barcelona;Océano;1997;84-494-0387-1;768 p.;;español;DESARROLLO DEL NINO | ENFERMERIA | SALUD MATERNOINFANTIL | MEDICINA Y SALUD;5993;KAMSHEN;614.253.5 ENC
99;BNM000099;Enciclopedia de la enfermería: Maternoinfantil II;Océano;Océano;Barcelona;Océano;1997;84-494-0388-X;960 p.;;español;DESARROLLO DEL NINO | ENFERMERIA | SALUD MATERNOINFANTIL | MEDICINA Y SALUD;5994;KAMSHEN;614.253.5 ENC
100;BNM000100;Metodología básica de investigación en enfermería;Santos Heredero, Francisco Xavier | Rodríguez Arias, Carlos A | Rodriguez Ballestero, Rosario;Francisco Xavier Santos Heredero , Carlos A. Rodríguez Arias, Rosario Rodriguez Ballestero;Madrid;Díaz de Santos;2004;84-7978-606-X;209 p.;;español;METODOLOGIA DE LA INVESTIGACION | FORMULACION DE HIPOTESIS | FORMULACION DEL PROBLEMA | ENFERMERIA | INVESTIGACION ENFERMERA | DISENO DE LA INVESTIGACION | CIENCIA;002268 | 003416;KAMSHEN;614.253.5+001.8 SAN | 614.253.5+001.8 SAN
101;BNM000101;Limpieza del instrumental e higiene del medio hospitalario;Silva García, Luis | Pérez Santana, José Manuel | Junquera Velasco, Carmen Rosa | Ania Palacio, José Manuel | Reina, Manuel Alés | Cara Cañas, José Manuel | Calderón, Eva Puertas;, Luis Silva García, José Manuel Pérez Santana, Carmen Rosa Junquera Velasco;Sevilla;MAD;2006;84-665-5644-3;152 p.;Eduforma;español;EPIDEMIOLOGIA | HIGIENE | ENFERMEDADES INFECCIOSAS | ESTERILIZACION | INFECCIONES HOSPITALARIAS | MEDICINA Y SALUD;2200;KAMSHEN;615.47 LIM
102;BNM000102;Principios de anatomía y fisiología;Tórtora, Gerard | Derrickson, Bryan;Gerard Tórtora;Buenos Aires;Médica Panamericana;2006;978-968-7988-77-1;1296p.;;español;ANATOMIA | FISIOLOGIA | MEDICINA Y SALUD;002234 | 002349 | 002561 | 002565 | 002575 | 002625 | 005047 | 005094;KAMSHEN;611+612 TOR | 611 TOR | 611 TOR | 611 TOR | 611 TOR | 611 TOR | 611 TOR | 611 TOR
103;BNM000103;Introducción a la microbiología;Tórtora, Gerard | Funke, Berdell R | Case, Christine L;Gerard Tórtora , Berdell R. Funke, Christine L. Case;Buenos Aires;Médica Panamericana;2007;978-950-06-0740-7;962 p.;;español;MICROBIOLOGIA | BACTERIOLOGIA | MEDICINA Y SALUD;2245;KAMSHEN;579 TOR
104;BNM000104;Cuidados de enfermería en el paciente con urgencias de origen cardíaco;Silva García, Luis | Pérez Santana, José Manuel | Silva García, María del Carmen | Fernández de la Fuente, Nicolás | Bueno Mariscal, Claudio | Caballero Oliver, Antonio | Rico Corral, Miguel Angel | Torres Moreno, Joaquín | Prieto Delgado, José Luis | Muñoz Arteaga, Domingo | Prieto Delgado, Antonio;, Luis Silva García, José Manuel Pérez Santana, María del Carmen Silva García;Sevilla;MAD;2006;978-84-665-5617-0;128 p. il., fot.;Práctico Profesional;español;ENFERMEDADES CARDIOVASCULARES | ELECTROCARDIOLOGIA | ENFERMERIA;002315 | 003148;KAMSHEN;616.12 CUI | 616.12 CUI
105;BNM000105;Estudios epidemiológicos e investigación enfermera;;;Sevilla;MAD;2006;84-665-5761-X;151p.;Colección Práctico Profesional;español;EPIDEMIOLOGIA | INVESTIGACION ENFERMERA | MEDICINA Y SALUD;2243;KAMSHEN;614.4 EST
106;BNM000106;Manual de fundamentos de enfermería: cuidados básicos;Salvadores Fuentes, Paloma | Redondo, Susana Limia | Jiménez Fernández, Raquel;Paloma Salvadores Fuentes , Susana Limia Redondo, Raquel Jiménez Fernández;Barcelona;Ariel;2002;84-344-3708-2;380 p.;;español;FARMACOLOGIA | NUTRICION | ENFERMERIA | PROCESO DE ENFERMERIA | TECNICAS DE ENFERMERIA | MEDICINA Y SALUD;2249;KAMSHEN;614.253.5 SAL
107;BNM000107;Introducción a la microbiología médica;Dorfman, Damián | Passarelli, Mariano;Damián Dorfman , Mariano Passarelli;Buenos Aires;Akadia;2004;950-9020-94-X;235 p.;;español;MICROBIOLOGIA | PARASITOLOGIA | BACTERIOLOGIA | MEDICINA Y SALUD;2492;KAMSHEN;579 DOR
108;BNM000108;Técnicas básicas de enfermería;Llorens Tarazona, Carmen | Blanch, Carmen Juan;Carmen Llorens Tarazona , Carmen Juan Blanch;Madrid;Paraninfo;1997;84-283-2419-0;219 p.;Ciencias de la Salud;español;FARMACOLOGIA | ENFERMERIA | DIETETICA | TECNICAS DE ENFERMERIA | PRIMEROS AUXILIOS | MEDICINA Y SALUD;2358;KAMSHEN;614.253.3 LLO
109;BNM000109;Teorías de la comunicación de masas;De Fleur, Melvin L | Ball-Rokeach, Sandra J;Melvin L. De Fleur , Sandra J. Ball-Rokeach;Barcelona;Paidós;1989;84-7509-202-0;463 p.;Paidós Comunicación;español;COMUNICACION DE MASAS | FOTOGRAFIA | MEDIOS DE COMUNICACION | COMUNICACION;001409 | 005861;KAMSHEN;007 DEF | 007 DEF
110;BNM000110;Anatomía humana;Latarjet, Michel | Ruiz Liard, Alfredo;Michel Latarjet , Alfredo Ruiz Liard;Buenos Aires;Medica Panamericana;2005;950-06-1369-7;1746 p.;;español;ANATOMIA | MEDICINA Y SALUD;002235 | 002869;KAMSHEN;611 LAT | 611 LAT
111;BNM000111;Introducción a la teoría de la comunicación de masas;McQuail, Denis;Denis McQuail;Barcelona;Paidós;2000;84-493-0812-7;632 p.;Paidós Comunicación;español;COMUNICACION DE MASAS | CULTURA DE MASAS | MEDIOS DE COMUNICACION | COMUNICACION;1410;KAMSHEN;007 MCQ
112;BNM000112;Problemas de competencia en el sector de distruibución de programas de televisión en la Argentina;Comisión Nacional de Defensa de la Competencia;;La Plata;Universidad Nacional de La Plata;2007;978-950-34-0404-1;121, 116 p.;;español;TELEVISION | MEDIOS DE COMUNICACION | COMUNICACION;2213;KAMSHEN;070 PRO
113;BNM000113;La televisión : enfoques actuales;Universidad Nacional de La Plata;Universidad Nacional de La Plata;La Plata;Universidad Nacional de La Plata;2006;1668-5431;208 p.;Oficios terrestres;español;TELEVISION | COMUNICACION;001932 | 002501 | 003221;KAMSHEN;007(05) UNI | 007(05) UNI | 007(05) UNI
114;BNM000114;Economia: principios y aplicaciones;Mochón, Francisco | Beker, Víctor Alberto;Francisco Mochón , Víctor A. Beker;Buenos Aires;McGraw-Hill Interamericana;2003;987-1112-01-7;755 p.;;español;OFERTA | DEMANDA | MERCADO | MACROECONOMIA | MONOPOLIO | ECONOMIA;001411 | 005788;KAMSHEN;330 MOC | 330 MOC
115;BNM000115;El jefe de recepción: técnica de la recepción en un hotel de calidad;Mesalles, Lluís;Lluís Mesalles;Barcelona;Laertes;2005;84-7584-547-9;254 p.;;español;SERVICIO HOTELERO | RESERVAS | DETERMINACION DE PRECIOS | HOTELERIA | FACTURACION | SERVICIOS AL CLIENTE | COMERCIO ELECTRONICO | SERVICIO DE RECEPCION | TURISMO;1721;KAMSHEN;640.41 MES
116;BNM000116;Atención al cliente en hostelería;Kye-Sung, Kaye Chon | Sparrowe, Raymond T;Kaye Chon Kye-Sung , Raymond T. Sparrowe;Madrid;Paraninfo;2001;84-283-2757-2;543 p.;;español;ALOJAMIENTO | VIAJES | SERVICIO HOTELERO | RESTAURACION HOTELERA | HOTELERIA | SERVICIO DE RECEPCION | TURISMO;001712 | 001816;KAMSHEN;640.41 CHO | 640.41 CHO
117;BNM000117;Breve historia de la Argentina;Romero, José Luis;José Luis Romero;Buenos Aires;Fondo de Cultura Económica;1996;950-557-224-7;206 p.;Tierra Firme;español;HISTORIA CONTEMPORANEA | HISTORIA POLITICA ARGENTINA | ABORIGENES ARGENTINOS | ERA COLONIAL | SIGLO XVI | VIRREINATO DEL RIO DE LA PLATA | ERA CRIOLLA | PROVINCIAS UNIDAS 1810-1820 | ARGENTINA 1820-1880 | ERA ALUVIAL | ARGENTINA 1880-1996 | HISTORIA;1143;KAMSHEN;94(82) ROM
118;BNM000118;Historia de la argentina: 1810-2000;Pigna, Felipe | Bulacio, Julio | Cao, Guillermo | Dino, Marta | Mora, Carlos;, coordinado por Felipe Pigna, Julio Bulacio, Guillermo Cao;Buenos Aires;A-Z;2007;978-950-534-859-6;350 p. il., fot.;;español;HISTORIA POLITICA ARGENTINA | REVOLUCION DE MAYO | ROSAS Y SU TIEMPO | GENERACION DE 1837 | GENERACION DE 1880 | PRESIDENCIAS ARGENTINAS | DICTADURA | DEMOCRACIA | ARGENTINA | PERONISMO | GOLPE DE ESTADO | HISTORIA;2273;KAMSHEN;94(82) PIG
119;BNM000119;Fundamentos de la moral;Hazlitt, Henry;Henry Hazlitt;Buenos Aires;Fundación Bolsa de Comercio de Buenos Aires;1979;;570 p.;;español;ETICA | MORAL | FILOSOFIA;2157;KAMSHEN;17.02 HAZ
120;BNM000120;Etica;Aranguren, José Luis L;José Luis L. Aranguren;Madrid;Alianza;1983;84-206-8019-2;350 p.;Alianza Universidad Textos;español;ETICA | PRINCIPIOS | OBJETO | FILOSOFIA;307;KAMSHEN;17.01 ARA
121;BNM000121;Historia integral de la Argentina: el largo camino a la democracia;Luna, Félix;Félix Luna;Buenos Aires;Planeta;1997;950-742-887-9;445 p.;;español;DEMOCRACIA | HISTORIA POLITICA ARGENTINA | PRESIDENCIAS ARGENTINAS | GUERRA DE MALVINAS | REGRESO DE PERON | FRONDIZI. 1958-62 | ILLIA. 1963-66 | REPRESION | GOLPE DE ESTADO | HISTORIA;1860;KAMSHEN;94(82) LUN
122;BNM000122;El cuerpo humano;;;s/l;Edilupa;2005;84-96252-25-6;319 p.;;español;BIOLOGIA | CUERPO HUMANO | CELULAS | SISTEMA CIRCULATORIO | SISTEMA DIGESTIVO | SISTEMA NERVIOSO | SISTEMA MUSCULAR | ESQUELETO | MEDICINA Y SALUD;2258;KAMSHEN;611 CUE
123;BNM000123;Manual de procedimientos básicos de enfermería;Games, María Inés | Fornés Vives, Joana | González, Mónica Daniela;María Inés Games , Joana Fornés Vives, Mónica Daniela González;Buenos Aires;Akadia;2004;950-9020-99-0;233 p.;;español;ENFERMERIA | TECNICAS DE ENFERMERIA | CUIDADO DE LA SALUD | MEDICINA Y SALUD;2288;KAMSHEN;614.253.5(035) GAM
124;BNM000124;Fundamentos de medicina: neumología;Velez, Hernan A | Borrero, Jaime R | Restrepo, Jorge M | Rojas, William M;, Hernan A . Velez, Jaime R. Borrero, Jorge M. Restrepo;Colombia;CIB;1986;;646 p.;;español;ENFERMEDADES RESPIRATORIAS | NEUMONIA | SISTEMA PULMONAR | MEDICINA Y SALUD;2316;KAMSHEN;61 FUN
125;BNM000125;El sector salud en la república argentina: su estructura y comportamiento;Katz, Jorge;Jorge Katz;México;Fondo de Cultura Económica;1993;950-557-189-5;371 p.;Economía;español;SALUD PUBLICA | POLITICA SANITARIA | MEDICINA Y SALUD;892;KAMSHEN;614.4 KAT
126;BNM000126;Matemáticas para ingresar a la universidad;Duarte, Betina;Betina Duarte;Buenos Aires;Granica;2005;950-641-334-7;226 p.;;español;MATEMATICA | EDUCACION PREUNIVERSITARIA;001938 | 001939 | 003023 | 003024;KAMSHEN;51 DUA | 51 DUA | 51 DUA | 51 DUA
